DEBUG: General     , 1744423850189> LoggerManager.init                  > Initializing...
LOG  : General     , 1744423850218> cachedir set to "C:\Users\Tumbly\Zomboid"
LOG  : General     , 1744423850222> 11-04-2025 22:10:50
LOG  : General     , 1744423850222> cachedir is "C:\Users\Tumbly\Zomboid"
LOG  : General     , 1744423850222> LogFileDir is "C:\Users\Tumbly\Zomboid\Logs"
LOG  : General     , 1744423850222> ===== System specs =====
LOG  : General     , 1744423850223> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1744423850223> Processor: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD
LOG  : General     , 1744423850224> Processor cores: 24
LOG  : General     , 1744423850224> Available processors (cores): 24
LOG  : General     , 1744423850225> Memory free: 961.03796 MB
LOG  : General     , 1744423850226> Memory max: 3072.0 MB
LOG  : General     , 1744423850226> Memory  total available to JVM: 986.0 MB
LOG  : General     , 1744423850228> C:\, Total: 1862.3674 GB, Free: 256.04816 GB
LOG  : General     , 1744423850228> D:\, Total: 111.79492 GB, Free: 26.498371 GB
LOG  : General     , 1744423850228> P:\, Total: 7452.035 GB, Free: 7451.7065 GB
LOG  : General     , 1744423850313> Mobo = [Product=PRO X870-P WIFI (MS-7E47)]
LOG  : General     , 1744423850401> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=4400,Name=AMD Ryzen 9 9900X 12-Core Processor]
LOG  : General     , 1744423850484> Graphics = { [AdapterRAM=2147483648,DriverVersion=32.0.11027.2001,Name=AMD Radeon(TM) Graphics], [AdapterRAM=4293918720,DriverVersion=32.0.15.7270,Name=NVIDIA GeForce RTX 5080] }
LOG  : General     , 1744423850574> VideoMode = { [VideoModeDescription=3840 x 2160 x 4294967296 colors], [VideoModeDescription=1920 x 1080 x 4294967296 colors] }
LOG  : General     , 1744423850659> Sound = { [Manufacturer=Advanced Micro Devices,Name=AMD High Definition Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=Realtek,Name=HyperX DuoCast], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=NVIDIA,Name=NVIDIA Broadcast] }
LOG  : General     , 1744423850736> Memory RAM = { [Capacity=17179869184,Manufacturer=Unknown], [Capacity=17179869184,Manufacturer=Unknown], [Capacity=17179869184,Manufacturer=Unknown], [Capacity=17179869184,Manufacturer=Unknown] }
LOG  : General     , 1744423850736> ========================
LOG  : General     , 1744423850736> -- listing properties --
LOG  : General     , 1744423850736> java.specification.version=17
LOG  : General     , 1744423850737> sun.cpu.isalist=amd64
LOG  : General     , 1744423850737> sun.jnu.encoding=Cp1252
LOG  : General     , 1744423850737> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1744423850737> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1744423850737> sun.arch.data.model=64
LOG  : General     , 1744423850738> user.variant=
LOG  : General     , 1744423850738> java.vendor.url=http://www.azul.com/
LOG  : General     , 1744423850738> user.timezone=America/New_York
LOG  : General     , 1744423850738> zomboid.steam=1
LOG  : General     , 1744423850738> java.vm.specification.version=17
LOG  : General     , 1744423850738> os.name=Windows 10
LOG  : General     , 1744423850738> user.country=US
LOG  : General     , 1744423850738> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1744423850739> zomboid.znetlog=1
LOG  : General     , 1744423850739> jdk.debug=release
LOG  : General     , 1744423850739> sun.cpu.endian=little
LOG  : General     , 1744423850739> user.home=C:\Users\Tumbly
LOG  : General     , 1744423850739> user.language=en
LOG  : General     , 1744423850739> java.specification.vendor=Oracle Corporation
LOG  : General     , 1744423850739> java.version.date=2021-10-19
LOG  : General     , 1744423850739> java.home=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1744423850739> file.separator=\
LOG  : General     , 1744423850739> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1744423850740> line.separator=

LOG  : General     , 1744423850740> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1744423850740> java.specification.name=Java Platform API Specification
LOG  : General     , 1744423850740> java.awt.headless=true
LOG  : General     , 1744423850740> user.script=
